#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,hltpath,delivered(/ub),recorded(/ub),avgpu,source
320674:7005,14:14,08/01/18 08:16:49,HLT_Mu7_IP4_part2_v2,12539.134456264,12348.183914901,31.3,HFOC
320674:7005,15:15,08/01/18 08:17:12,HLT_Mu7_IP4_part2_v2,12545.773176805,12354.052648127,31.3,HFOC
320674:7005,16:16,08/01/18 08:17:35,HLT_Mu7_IP4_part2_v2,12517.027335289,12325.601494749,31.2,HFOC
320674:7005,17:17,08/01/18 08:17:59,HLT_Mu7_IP4_part2_v2,12514.169781632,12322.938625790,31.2,HFOC
320674:7005,18:18,08/01/18 08:18:22,HLT_Mu7_IP4_part2_v2,12512.129299582,12321.261559262,31.2,HFOC
320674:7005,19:19,08/01/18 08:18:45,HLT_Mu7_IP4_part2_v2,12508.032418408,12317.196154522,31.2,HFOC
320674:7005,20:20,08/01/18 08:19:09,HLT_Mu7_IP4_part2_v2,12506.615703785,12315.767662187,31.2,HFOC
320674:7005,21:21,08/01/18 08:19:32,HLT_Mu7_IP4_part2_v2,12504.815555838,12314.021256695,31.2,HFOC
320674:7005,22:22,08/01/18 08:19:55,HLT_Mu7_IP4_part2_v2,12495.245623676,12304.699238090,31.2,HFOC
320674:7005,23:23,08/01/18 08:20:18,HLT_Mu7_IP4_part2_v2,12489.848879086,12123.661447810,31.1,HFOC
320674:7005,24:24,08/01/18 08:20:42,HLT_Mu7_IP4_part2_v2,12487.375911668,12297.559393806,31.1,HFOC
320674:7005,25:25,08/01/18 08:21:05,HLT_Mu7_IP4_part2_v2,12486.342591135,12296.034048293,31.1,HFOC
320674:7005,26:26,08/01/18 08:21:28,HLT_Mu7_IP4_part2_v2,12486.333688674,12295.931459205,31.1,HFOC
320674:7005,27:27,08/01/18 08:21:52,HLT_Mu7_IP4_part2_v2,12467.550478945,12277.722073798,31.1,HFOC
320674:7005,28:28,08/01/18 08:22:15,HLT_Mu7_IP4_part2_v2,12468.983817493,12279.518132083,31.1,HFOC
320674:7005,29:29,08/01/18 08:22:38,HLT_Mu7_IP4_part2_v2,12466.727611378,12276.969742730,31.1,HFOC
320674:7005,30:30,08/01/18 08:23:02,HLT_Mu7_IP4_part2_v2,12460.684524603,12271.366952170,31.1,HFOC
320674:7005,31:31,08/01/18 08:23:25,HLT_Mu7_IP4_part2_v2,12457.152632977,12267.694402127,31.1,HFOC
320674:7005,32:32,08/01/18 08:23:48,HLT_Mu7_IP4_part2_v2,12450.462714043,12261.341940932,31.0,HFOC
320674:7005,33:33,08/01/18 08:24:11,HLT_Mu7_IP4_part2_v2,12441.553307483,12252.821873754,31.0,HFOC
320674:7005,34:34,08/01/18 08:24:35,HLT_Mu7_IP4_part2_v2,12434.620923754,12245.997771514,31.0,HFOC
320674:7005,35:35,08/01/18 08:24:58,HLT_Mu7_IP4_part2_v2,12427.111017878,12238.514086720,31.0,HFOC
320674:7005,36:36,08/01/18 08:25:21,HLT_Mu7_IP4_part2_v2,12417.208536267,12228.557127867,31.0,HFOC
320674:7005,37:37,08/01/18 08:25:45,HLT_Mu7_IP4_part2_v2,12413.169529400,12225.100099114,30.9,HFOC
320674:7005,38:38,08/01/18 08:26:08,HLT_Mu7_IP4_part2_v2,12405.864144230,12217.830148594,30.9,HFOC
320674:7005,39:39,08/01/18 08:26:31,HLT_Mu7_IP4_part2_v2,12402.113160482,12213.897636979,30.9,HFOC
320674:7005,40:40,08/01/18 08:26:55,HLT_Mu7_IP4_part2_v2,12397.109269183,12208.932518626,30.9,HFOC
320674:7005,41:41,08/01/18 08:27:18,HLT_Mu7_IP4_part2_v2,12390.750681375,12203.178023061,30.9,HFOC
320674:7005,42:42,08/01/18 08:27:41,HLT_Mu7_IP4_part2_v2,12382.799491875,12195.635180190,30.9,HFOC
320674:7005,43:43,08/01/18 08:28:05,HLT_Mu7_IP4_part2_v2,12371.488807539,12184.403170172,30.8,HFOC
320674:7005,44:44,08/01/18 08:28:28,HLT_Mu7_IP4_part2_v2,12364.374366678,12176.956725574,30.8,HFOC
320674:7005,45:45,08/01/18 08:28:51,HLT_Mu7_IP4_part2_v2,12363.813399744,12177.091151906,30.8,HFOC
320674:7005,46:46,08/01/18 08:29:15,HLT_Mu7_IP4_part2_v2,12336.485038669,12150.146478527,30.8,HFOC
320674:7005,47:47,08/01/18 08:29:38,HLT_Mu7_IP4_part2_v2,12363.938695124,12177.377048100,30.8,HFOC
320674:7005,48:48,08/01/18 08:30:01,HLT_Mu7_IP4_part2_v2,12361.246428859,12174.282032728,30.8,HFOC
320674:7005,49:49,08/01/18 08:30:24,HLT_Mu7_IP4_part2_v2,12350.565017852,12025.229620597,30.8,HFOC
320674:7005,50:50,08/01/18 08:30:48,HLT_Mu7_IP4_part2_v2,12347.085282558,12160.364176468,30.8,HFOC
320674:7005,51:51,08/01/18 08:31:11,HLT_Mu7_IP4_part2_v2,12333.035753823,12146.195775020,30.7,HFOC
320674:7005,52:52,08/01/18 08:31:34,HLT_Mu7_IP4_part2_v2,12329.283052346,12143.257239174,30.7,HFOC
320674:7005,53:53,08/01/18 08:31:58,HLT_Mu7_IP4_part2_v2,12315.612211860,12129.536833881,30.7,HFOC
320674:7005,54:54,08/01/18 08:32:21,HLT_Mu7_IP4_part2_v2,12361.458223445,12174.860392211,30.8,HFOC
320674:7005,55:55,08/01/18 08:32:44,HLT_Mu7_IP4_part2_v2,12369.912138556,12182.409777295,30.8,HFOC
320674:7005,56:56,08/01/18 08:33:08,HLT_Mu7_IP4_part2_v2,12364.149216745,12176.945475713,30.8,HFOC
320674:7005,57:57,08/01/18 08:33:31,HLT_Mu7_IP4_part2_v2,12343.496128937,12156.775334728,30.8,HFOC
320674:7005,58:58,08/01/18 08:33:54,HLT_Mu7_IP4_part2_v2,12319.359908502,12133.241100976,30.7,HFOC
320674:7005,59:59,08/01/18 08:34:18,HLT_Mu7_IP4_part2_v2,12302.805500593,12117.611147942,30.7,HFOC
320674:7005,60:60,08/01/18 08:34:41,HLT_Mu7_IP4_part2_v2,12300.464083762,12115.013984422,30.7,HFOC
320674:7005,61:61,08/01/18 08:35:04,HLT_Mu7_IP4_part2_v2,12293.654141996,12108.871865509,30.7,HFOC
320674:7005,62:62,08/01/18 08:35:28,HLT_Mu7_IP4_part2_v2,12290.777100160,12105.664243652,30.6,HFOC
320674:7005,63:63,08/01/18 08:35:51,HLT_Mu7_IP4_part2_v2,12290.611079867,12105.296773411,30.6,HFOC
320674:7005,64:64,08/01/18 08:36:14,HLT_Mu7_IP4_part2_v2,12280.614158274,12095.414502087,30.6,HFOC
320674:7005,65:65,08/01/18 08:36:37,HLT_Mu7_IP4_part2_v2,12276.765719841,12092.040700379,30.6,HFOC
320674:7005,66:66,08/01/18 08:37:01,HLT_Mu7_IP4_part2_v2,12267.550997046,12082.414024419,30.6,HFOC
320674:7005,67:67,08/01/18 08:37:24,HLT_Mu7_IP4_part2_v2,12242.399684192,12058.998987851,30.5,HFOC
320674:7005,68:68,08/01/18 08:37:47,HLT_Mu7_IP4_part2_v2,12248.542888002,12064.250184843,30.5,HFOC
320674:7005,69:69,08/01/18 08:38:11,HLT_Mu7_IP4_part2_v2,12259.873015825,12075.670618279,30.6,HFOC
320674:7005,70:70,08/01/18 08:38:34,HLT_Mu7_IP4_part2_v2,12243.626166994,12059.278821979,30.5,HFOC
320674:7005,71:71,08/01/18 08:38:57,HLT_Mu7_IP4_part2_v2,12238.297819326,12054.812593704,30.5,HFOC
320674:7005,72:72,08/01/18 08:39:21,HLT_Mu7_IP4_part2_v2,12234.704848157,12051.102669954,30.5,HFOC
320674:7005,73:73,08/01/18 08:39:44,HLT_Mu7_IP4_part2_v2,12228.579954307,12044.876527715,30.5,HFOC
320674:7005,74:74,08/01/18 08:40:07,HLT_Mu7_IP4_part2_v2,12229.597169310,12045.626189510,30.5,HFOC
320674:7005,75:75,08/01/18 08:40:31,HLT_Mu7_IP4_part2_v2,12226.331769574,12043.122975610,30.5,HFOC
320674:7005,76:76,08/01/18 08:40:54,HLT_Mu7_IP4_part2_v2,12220.466984023,12036.743029150,30.5,HFOC
320674:7005,77:77,08/01/18 08:41:17,HLT_Mu7_IP4_part2_v2,12195.745078287,11840.978756802,30.4,HFOC
320674:7005,78:78,08/01/18 08:41:41,HLT_Mu7_IP4_part2_v2,12217.762636748,12034.296681133,30.5,HFOC
320674:7005,79:79,08/01/18 08:42:04,HLT_Mu7_IP4_part2_v2,12205.499089699,12022.657552111,30.4,HFOC
320674:7005,80:80,08/01/18 08:42:27,HLT_Mu7_IP4_part2_v2,12205.738930055,12022.731731795,30.4,HFOC
320674:7005,81:81,08/01/18 08:42:50,HLT_Mu7_IP4_part2_v2,12207.174789326,12024.262299175,30.4,HFOC
320674:7005,82:82,08/01/18 08:43:14,HLT_Mu7_IP4_part2_v2,12174.185439907,11992.183412844,30.4,HFOC
320674:7005,83:83,08/01/18 08:43:37,HLT_Mu7_IP4_part2_v2,12186.742265488,12004.258340220,30.4,HFOC
320674:7005,84:84,08/01/18 08:44:00,HLT_Mu7_IP4_part2_v2,12169.686754799,11987.579051073,30.3,HFOC
320674:7005,85:85,08/01/18 08:44:24,HLT_Mu7_IP4_part2_v2,12164.934819794,11982.243556091,30.3,HFOC
320674:7005,86:86,08/01/18 08:44:47,HLT_Mu7_IP4_part2_v2,12154.060391153,11971.843837256,30.3,HFOC
320674:7005,87:87,08/01/18 08:45:10,HLT_Mu7_IP4_part2_v2,12148.147196523,11966.418737869,30.3,HFOC
320674:7005,88:88,08/01/18 08:45:34,HLT_Mu7_IP4_part2_v2,12109.239194227,11928.495224796,30.2,HFOC
320674:7005,89:89,08/01/18 08:45:57,HLT_Mu7_IP4_part2_v2,12136.379171570,11954.860748989,30.3,HFOC
320674:7005,90:90,08/01/18 08:46:20,HLT_Mu7_IP4_part2_v2,12131.810857118,11950.638118244,30.2,HFOC
320674:7005,91:91,08/01/18 08:46:44,HLT_Mu7_IP4_part2_v2,12128.159362374,11946.922291775,30.2,HFOC
320674:7005,92:92,08/01/18 08:47:07,HLT_Mu7_IP4_part2_v2,12120.938386414,11939.238368648,30.2,HFOC
320674:7005,93:93,08/01/18 08:47:30,HLT_Mu7_IP4_part2_v2,12109.361360219,11928.524444379,30.2,HFOC
320674:7005,94:94,08/01/18 08:47:53,HLT_Mu7_IP4_part2_v2,12093.451580235,11743.106767113,30.2,HFOC
320674:7005,95:95,08/01/18 08:48:17,HLT_Mu7_IP4_part2_v2,12115.479809193,11934.683229984,30.2,HFOC
320674:7005,96:96,08/01/18 08:48:40,HLT_Mu7_IP4_part2_v2,12109.281188790,11928.827045761,30.2,HFOC
320674:7005,97:97,08/01/18 08:49:03,HLT_Mu7_IP4_part2_v2,12110.413768329,11929.696754667,30.2,HFOC
320674:7005,98:98,08/01/18 08:49:27,HLT_Mu7_IP4_part2_v2,12104.261545657,11923.804896109,30.2,HFOC
320674:7005,99:99,08/01/18 08:49:50,HLT_Mu7_IP4_part2_v2,12112.250069813,11931.813880523,30.2,HFOC
320674:7005,100:100,08/01/18 08:50:13,HLT_Mu7_IP4_part2_v2,12086.738603390,11906.587734644,30.1,HFOC
320674:7005,101:101,08/01/18 08:50:37,HLT_Mu7_IP4_part2_v2,12073.010814324,11893.640462799,30.1,HFOC
320674:7005,102:102,08/01/18 08:51:00,HLT_Mu7_IP4_part2_v2,12074.000925638,11894.244008815,30.1,HFOC
320674:7005,103:103,08/01/18 08:51:23,HLT_Mu7_IP4_part2_v2,12076.789263954,11897.340602508,30.1,HFOC
320674:7005,104:104,08/01/18 08:51:47,HLT_Mu7_IP4_part2_v2,12078.684206861,11898.426223769,30.1,HFOC
320674:7005,105:105,08/01/18 08:52:10,HLT_Mu7_IP4_part2_v2,12075.397005329,11895.221395283,30.1,HFOC
320674:7005,106:106,08/01/18 08:52:33,HLT_Mu7_IP4_part2_v2,12062.841718712,11883.654115773,30.1,HFOC
320674:7005,107:107,08/01/18 08:52:57,HLT_Mu7_IP4_part2_v2,12047.188452587,11868.399164654,30.0,HFOC
320674:7005,108:108,08/01/18 08:53:20,HLT_Mu7_IP4_part2_v2,12042.075394279,11863.874667273,30.0,HFOC
320674:7005,109:109,08/01/18 08:53:43,HLT_Mu7_IP4_part2_v2,12040.719965332,11862.000762959,30.0,HFOC
320674:7005,110:110,08/01/18 08:54:06,HLT_Mu7_IP4_part2_v2,12037.101019012,11722.919297160,30.0,HFOC
320674:7005,111:111,08/01/18 08:54:30,HLT_Mu7_IP4_part2_v2,11981.414154627,11804.105364104,29.9,HFOC
320674:7005,112:112,08/01/18 08:54:53,HLT_Mu7_IP4_part2_v2,12035.301401398,11856.598766918,30.0,HFOC
320674:7005,113:113,08/01/18 08:55:16,HLT_Mu7_IP4_part2_v2,12023.928943297,11845.694090303,30.0,HFOC
320674:7005,114:114,08/01/18 08:55:40,HLT_Mu7_IP4_part2_v2,11997.022641314,11818.838926021,29.9,HFOC
320674:7005,115:115,08/01/18 08:56:03,HLT_Mu7_IP4_part2_v2,11991.632329732,11813.979570483,29.9,HFOC
320674:7005,116:116,08/01/18 08:56:26,HLT_Mu7_IP4_part2_v2,11989.676659530,11811.971247282,29.9,HFOC
320674:7005,117:117,08/01/18 08:56:50,HLT_Mu7_IP4_part2_v2,11989.989770831,11812.519877288,29.9,HFOC
320674:7005,118:118,08/01/18 08:57:13,HLT_Mu7_IP4_part2_v2,11968.956864282,11791.986483304,29.8,HFOC
320674:7005,119:119,08/01/18 08:57:36,HLT_Mu7_IP4_part2_v2,11990.574626674,11812.421726467,29.9,HFOC
320674:7005,120:120,08/01/18 08:58:00,HLT_Mu7_IP4_part2_v2,11977.658028821,11800.291658987,29.9,HFOC
320674:7005,121:121,08/01/18 08:58:23,HLT_Mu7_IP4_part2_v2,11980.919024482,11803.313689169,29.9,HFOC
320674:7005,122:122,08/01/18 08:58:46,HLT_Mu7_IP4_part2_v2,11957.634091964,11780.864411098,29.8,HFOC
320674:7005,123:123,08/01/18 08:59:10,HLT_Mu7_IP4_part2_v2,11971.004245647,11793.769553417,29.8,HFOC
320674:7005,124:124,08/01/18 08:59:33,HLT_Mu7_IP4_part2_v2,11963.518573813,11786.189642768,29.8,HFOC
320674:7005,125:125,08/01/18 08:59:56,HLT_Mu7_IP4_part2_v2,11959.852076010,11783.541623044,29.8,HFOC
320674:7005,126:126,08/01/18 09:00:19,HLT_Mu7_IP4_part2_v2,11953.130636863,11776.516414043,29.8,HFOC
320674:7005,127:127,08/01/18 09:00:43,HLT_Mu7_IP4_part2_v2,11951.564984755,11774.875665413,29.8,HFOC
320674:7005,128:128,08/01/18 09:01:06,HLT_Mu7_IP4_part2_v2,11940.115236792,11763.775077793,29.8,HFOC
320674:7005,129:129,08/01/18 09:01:29,HLT_Mu7_IP4_part2_v2,11937.132793789,11761.246829586,29.8,HFOC
